연도,월,행정구역구분명,행정구역명,총 인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수 (남),0~9세 (남),10~19세 (남),20~29세 (남),30~39세 (남),40~49세 (남),50~59세 (남),60~69세 (남),70~79세 (남),80~89세 (남),90~99세 (남),100세 이상 (남),총 인구수 (여),0~9세 (여),10~19세 (여),20~29세 (여),30~39세 (여),40~49세 (여),50~59세 (여),60~69세 (여),70~79세 (여),80~89세 (여),90~99세 (여),100세 이상 (여)
2017,12,읍면동,경기도 고양시 덕양구 화정1동,40482,2770,4641,6469,4827,7455,7198,3281,2524,1163,146,8,19670,1430,2366,3249,2366,3475,3647,1598,1026,466,46,1,20812,1340,2275,3220,2461,3980,3551,1683,1498,697,100,7
2017,12,읍면동,경기도 고양시 덕양구 화정2동,35107,3446,4498,4639,4834,7389,5395,2347,1688,794,77,0,17063,1753,2358,2336,2249,3537,2704,1149,667,290,20,0,18044,1693,2140,2303,2585,3852,2691,1198,1021,504,57,0
2017,12,읍면동,경기도 고양시 덕양구 효자동,2517,217,148,298,370,348,414,349,235,98,27,13,1321,111,86,157,200,192,216,184,112,42,15,6,1196,106,62,141,170,156,198,165,123,56,12,7
2017,12,읍면동,경기도 고양시 덕양구 흥도동,36451,5089,2951,4343,7187,6247,4970,3190,1741,654,76,3,17862,2521,1509,2147,3444,3325,2364,1508,808,226,10,0,18589,2568,1442,2196,3743,2922,2606,1682,933,428,66,3
2017,12,구,경기도 고양시 일산동구 ,293673,22893,33654,44004,39389,55924,51330,24225,14232,7024,953,45,143253,11775,17380,22107,18879,26483,25665,12224,5983,2485,255,17,150420,11118,16274,21897,20510,29441,25665,12001,8249,4539,698,28
2017,12,읍면동,경기도 고양시 일산동구 고봉동,21177,1514,1722,2713,2780,3543,4138,2608,1451,610,95,3,11069,771,932,1480,1517,1918,2177,1401,670,189,12,2,10108,743,790,1233,1263,1625,1961,1207,781,421,83,1
2017,12,읍면동,경기도 고양시 일산동구 마두1동,26123,1744,3831,4258,2509,5013,4898,1983,1160,643,75,9,12666,898,1968,2122,1156,2275,2481,1013,506,229,15,3,13457,846,1863,2136,1353,2738,2417,970,654,414,60,6
2017,12,읍면동,경기도 고양시 일산동구 마두2동,17379,1451,2536,2466,1703,3387,3056,1205,898,599,77,1,8240,751,1275,1235,723,1518,1512,625,350,222,28,1,9139,700,1261,1231,980,1869,1544,580,548,377,49,0
2017,12,읍면동,경기도 고양시 일산동구 백석1동,33102,2585,3668,5261,5274,6132,5563,2545,1345,641,84,4,15895,1315,1904,2564,2613,2796,2640,1270,531,245,16,1,17207,1270,1764,2697,2661,3336,2923,1275,814,396,68,3
2017,12,읍면동,경기도 고양시 일산동구 백석2동,22077,1212,1732,3495,4036,4367,3666,1847,1104,542,72,4,10675,637,918,1657,1966,2121,1828,925,438,160,24,1,11402,575,814,1838,2070,2246,1838,922,666,382,48,3
2017,12,읍면동,경기도 고양시 일산동구 식사동,33117,3833,4672,4340,3922,7178,5265,2164,1165,515,62,1,16173,1970,2348,2204,1649,3421,2778,1121,480,178,24,0,16944,1863,2324,2136,2273,3757,2487,1043,685,337,38,1
